tag,scene,k,method,seed,n_fake,iterations,psnr,ssim,lpips,train_s,peak_vram_mib,n_gaussians
drjohnson_k10_seed0_fps_fake0,drjohnson,10,fps,0,0,7000,14.9974,0.4609,0.5593,229.4,1897,679291
drjohnson_k10_seed1_fps_fake0,drjohnson,10,fps,1,0,7000,12.0992,0.3395,0.6400,277.1,2339,909932
drjohnson_k10_seed2_fps_fake0,drjohnson,10,fps,2,0,7000,15.0019,0.4515,0.5668,280.7,2187,841690
drjohnson_k20_seed0_fps_fake0,drjohnson,20,fps,0,0,7000,16.5679,0.5396,0.5055,349.6,3057,1250815
drjohnson_k20_seed0_fps_outpaint_fake10,drjohnson,20,fps,0,10,7000,16.5561,0.5211,0.5234,380.5,3737,1427460
drjohnson_k20_seed0_fps_outpaint_fake20,drjohnson,20,fps,0,20,7000,16.5998,0.5267,0.5352,361.8,3589,1322527
drjohnson_k20_seed0_fps_outpaint_fake40,drjohnson,20,fps,0,40,7000,17.2100,0.5448,0.5240,342.2,2941,1185797
drjohnson_k20_seed0_fps_outpaint_fake5,drjohnson,20,fps,0,5,7000,16.2161,0.5202,0.5247,363.6,3365,1365351
drjohnson_k20_seed1_fps_fake0,drjohnson,20,fps,1,0,7000,15.4205,0.5049,0.5269,343.7,3119,1256758
drjohnson_k20_seed1_fps_outpaint_fake10,drjohnson,20,fps,1,10,7000,15.2457,0.4977,0.5396,356.6,3161,1318842
drjohnson_k20_seed1_fps_outpaint_fake20,drjohnson,20,fps,1,20,7000,15.3353,0.4947,0.5505,364.0,3177,1348246
drjohnson_k20_seed1_fps_outpaint_fake40,drjohnson,20,fps,1,40,7000,15.5275,0.5122,0.5488,343.2,2905,1201185
drjohnson_k20_seed1_fps_outpaint_fake5,drjohnson,20,fps,1,5,7000,14.9370,0.4916,0.5389,357.1,3165,1323019
drjohnson_k20_seed2_fps_fake0,drjohnson,20,fps,2,0,7000,17.4980,0.5681,0.4894,374.4,3441,1396619
drjohnson_k20_seed2_fps_outpaint_fake10,drjohnson,20,fps,2,10,7000,17.2444,0.5528,0.5209,409.4,3805,1534362
drjohnson_k20_seed2_fps_outpaint_fake20,drjohnson,20,fps,2,20,7000,16.8245,0.5443,0.5183,399.5,3703,1472467
drjohnson_k20_seed2_fps_outpaint_fake40,drjohnson,20,fps,2,40,7000,17.3352,0.5645,0.5075,375.9,3461,1317113
drjohnson_k20_seed2_fps_outpaint_fake5,drjohnson,20,fps,2,5,7000,17.4024,0.5598,0.5058,385.8,3393,1440442
drjohnson_k230_seed0_full_fake0,drjohnson,230,full,0,0,7000,28.3021,0.8976,0.1654,1216.0,3909,1726341
drjohnson_k5_seed0_fps_fake0,drjohnson,5,fps,0,0,7000,13.4182,0.3835,0.6224,157.9,1069,348934
drjohnson_k5_seed0_fps_outpaint_fake1,drjohnson,5,fps,0,1,7000,13.8384,0.3963,0.6225,179.3,1137,406718
drjohnson_k5_seed0_fps_outpaint_fake10,drjohnson,5,fps,0,10,7000,14.9865,0.4426,0.6041,228.6,1437,567612
drjohnson_k5_seed0_fps_outpaint_fake2,drjohnson,5,fps,0,2,7000,13.6384,0.3909,0.6241,194.3,1371,465392
drjohnson_k5_seed0_fps_outpaint_fake5,drjohnson,5,fps,0,5,7000,14.7247,0.4336,0.6024,223.1,1623,564142
drjohnson_k5_seed1_fps_fake0,drjohnson,5,fps,1,0,7000,10.6123,0.2431,0.7006,185.9,1379,460670
drjohnson_k5_seed1_fps_outpaint_fake1,drjohnson,5,fps,1,1,7000,10.7529,0.2552,0.6942,208.6,1369,527833
drjohnson_k5_seed1_fps_outpaint_fake10,drjohnson,5,fps,1,10,7000,11.1697,0.2922,0.6941,275.4,1965,751827
drjohnson_k5_seed1_fps_outpaint_fake2,drjohnson,5,fps,1,2,7000,10.7724,0.2573,0.6952,234.2,1407,608511
drjohnson_k5_seed1_fps_outpaint_fake5,drjohnson,5,fps,1,5,7000,11.0919,0.2808,0.6906,263.1,1755,738716
drjohnson_k5_seed2_fps_fake0,drjohnson,5,fps,2,0,7000,13.6246,0.3835,0.6355,217.2,1501,443449
drjohnson_k5_seed2_fps_outpaint_fake1,drjohnson,5,fps,2,1,7000,13.7811,0.3877,0.6302,229.1,1505,504751
drjohnson_k5_seed2_fps_outpaint_fake10,drjohnson,5,fps,2,10,7000,14.4666,0.4233,0.6285,279.7,1823,619127
drjohnson_k5_seed2_fps_outpaint_fake2,drjohnson,5,fps,2,2,7000,13.6467,0.3812,0.6358,288.6,2267,614581
drjohnson_k5_seed2_fps_outpaint_fake5,drjohnson,5,fps,2,5,7000,14.3270,0.4074,0.6264,278.2,1879,639353
truck_k10_seed0_fps_fake0,truck,10,fps,0,0,7000,17.5464,0.6812,0.2804,258.1,1265,480975
truck_k10_seed0_fps_guided_fake10,truck,10,fps,0,10,7000,16.1064,0.5601,0.3855,306.9,1817,700959
truck_k10_seed0_fps_guided_fake2,truck,10,fps,0,2,7000,16.9507,0.6334,0.3228,276.7,1419,543934
truck_k10_seed0_fps_guided_fake20,truck,10,fps,0,20,7000,16.0310,0.5544,0.3950,318.6,1861,755509
truck_k10_seed0_fps_guided_fake5,truck,10,fps,0,5,7000,16.6418,0.6017,0.3482,290.9,1575,606906
truck_k10_seed0_fps_inpaint_fake10,truck,10,fps,0,10,7000,17.3248,0.6633,0.3014,284.0,1373,518395
truck_k10_seed0_fps_inpaint_fake2,truck,10,fps,0,2,7000,17.5714,0.6761,0.2869,269.7,1433,500809
truck_k10_seed0_fps_inpaint_fake20,truck,10,fps,0,20,7000,17.2297,0.6672,0.2986,282.0,1431,499418
truck_k10_seed0_fps_inpaint_fake5,truck,10,fps,0,5,7000,17.4161,0.6694,0.2947,279.0,1355,511571
